,Postcode,Borough,Neighbourhood
142,M3N,North York,Downsview Northwest
143,M4N,Central Toronto,Lawrence Park
144,M5N,Central Toronto,Roselawn
145,M6N,York,The Junction North
146,M6N,York,Runnymede
147,M7N,Not assigned,Not assigned
148,M8N,Not assigned,Not assigned
149,M9N,York,Weston
150,M1P,Scarborough,Dorset Park
151,M1P,Scarborough,Scarborough Town Centre
152,M1P,Scarborough,Wexford Heights
153,M2P,North York,York Mills West
154,M3P,Not assigned,Not assigned
155,M4P,Central Toronto,Davisville North
156,M5P,Central Toronto,Forest Hill North
157,M5P,Central Toronto,Forest Hill West
158,M6P,West Toronto,High Park
159,M6P,West Toronto,The Junction South
160,M7P,Not assigned,Not assigned
161,M8P,Not assigned,Not assigned
162,M9P,Etobicoke,Westmount
163,M1R,Scarborough,Maryvale
164,M1R,Scarborough,Wexford
165,M2R,North York,Willowdale West
166,M3R,Not assigned,Not assigned
167,M4R,Central Toronto,North Toronto West
168,M5R,Central Toronto,The Annex
169,M5R,Central Toronto,North Midtown
170,M5R,Central Toronto,Yorkville
171,M6R,West Toronto,Parkdale
172,M6R,West Toronto,Roncesvalles
173,M7R,Mississauga,Canada Post Gateway Processing Centre
174,M8R,Not assigned,Not assigned
175,M9R,Etobicoke,Kingsview Village
176,M9R,Etobicoke,Martin Grove Gardens
177,M9R,Etobicoke,Richview Gardens
178,M9R,Etobicoke,St. Phillips
179,M1S,Scarborough,Agincourt
180,M2S,Not assigned,Not assigned
181,M3S,Not assigned,Not assigned
182,M4S,Central Toronto,Davisville
183,M5S,Downtown Toronto,Harbord
184,M5S,Downtown Toronto,University of Toronto
185,M6S,West Toronto,Runnymede
186,M6S,West Toronto,Swansea
187,M7S,Not assigned,Not assigned
188,M8S,Not assigned,Not assigned
189,M9S,Not assigned,Not assigned
190,M1T,Scarborough,Clarks Corners
191,M1T,Scarborough,Sullivan
192,M1T,Scarborough,Tam O'Shanter
193,M2T,Not assigned,Not assigned
194,M3T,Not assigned,Not assigned
195,M4T,Central Toronto,Moore Park
196,M4T,Central Toronto,Summerhill East
197,M5T,Downtown Toronto,Chinatown
198,M5T,Downtown Toronto,Grange Park
199,M5T,Downtown Toronto,Kensington Market
200,M6T,Not assigned,Not assigned
201,M7T,Not assigned,Not assigned
202,M8T,Not assigned,Not assigned
203,M9T,Not assigned,Not assigned
204,M1V,Scarborough,Agincourt North
205,M1V,Scarborough,L'Amoreaux East
206,M1V,Scarborough,Milliken
207,M1V,Scarborough,Steeles East
208,M2V,Not assigned,Not assigned
209,M3V,Not assigned,Not assigned
210,M4V,Central Toronto,Deer Park
211,M4V,Central Toronto,Forest Hill SE
212,M4V,Central Toronto,Rathnelly
213,M4V,Central Toronto,South Hill
214,M4V,Central Toronto,Summerhill West
215,M5V,Downtown Toronto,CN Tower
216,M5V,Downtown Toronto,Bathurst Quay
217,M5V,Downtown Toronto,Island airport
218,M5V,Downtown Toronto,Harbourfront West
219,M5V,Downtown Toronto,King and Spadina
220,M5V,Downtown Toronto,Railway Lands
221,M5V,Downtown Toronto,South Niagara
222,M6V,Not assigned,Not assigned
223,M7V,Not assigned,Not assigned
224,M8V,Etobicoke,Humber Bay Shores
225,M8V,Etobicoke,Mimico South
226,M8V,Etobicoke,New Toronto
227,M9V,Etobicoke,Albion Gardens
228,M9V,Etobicoke,Beaumond Heights
229,M9V,Etobicoke,Humbergate
230,M9V,Etobicoke,Jamestown
231,M9V,Etobicoke,Mount Olive
232,M9V,Etobicoke,Silverstone
233,M9V,Etobicoke,South Steeles
234,M9V,Etobicoke,Thistletown
235,M1W,Scarborough,L'Amoreaux West
236,M2W,Not assigned,Not assigned
237,M3W,Not assigned,Not assigned
238,M4W,Downtown Toronto,Rosedale
239,M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade
240,M6W,Not assigned,Not assigned
241,M7W,Not assigned,Not assigned
242,M8W,Etobicoke,Alderwood
243,M8W,Etobicoke,Long Branch
244,M9W,Etobicoke,Northwest
245,M1X,Scarborough,Upper Rouge
246,M2X,Not assigned,Not assigned
247,M3X,Not assigned,Not assigned
248,M4X,Downtown Toronto,Cabbagetown
249,M4X,Downtown Toronto,St. James Town
250,M5X,Downtown Toronto,First Canadian Place
251,M5X,Downtown Toronto,Underground city
252,M6X,Not assigned,Not assigned
253,M7X,Not assigned,Not assigned
254,M8X,Etobicoke,The Kingsway
255,M8X,Etobicoke,Montgomery Road
256,M8X,Etobicoke,Old Mill North
257,M9X,Not assigned,Not assigned
258,M1Y,Not assigned,Not assigned
259,M2Y,Not assigned,Not assigned
260,M3Y,Not assigned,Not assigned
261,M4Y,Downtown Toronto,Church and Wellesley
262,M5Y,Not assigned,Not assigned
263,M6Y,Not assigned,Not assigned
264,M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern
265,M8Y,Etobicoke,Humber Bay
266,M8Y,Etobicoke,King's Mill Park
267,M8Y,Etobicoke,Kingsway Park South East
268,M8Y,Etobicoke,Mimico NE
269,M8Y,Etobicoke,Old Mill South
270,M8Y,Etobicoke,The Queensway East
271,M8Y,Etobicoke,Royal York South East
272,M8Y,Etobicoke,Sunnylea
273,M9Y,Not assigned,Not assigned
274,M1Z,Not assigned,Not assigned
275,M2Z,Not assigned,Not assigned
276,M3Z,Not assigned,Not assigned
277,M4Z,Not assigned,Not assigned
278,M5Z,Not assigned,Not assigned
279,M6Z,Not assigned,Not assigned
280,M7Z,Not assigned,Not assigned
281,M8Z,Etobicoke,Kingsway Park South West
282,M8Z,Etobicoke,Mimico NW
283,M8Z,Etobicoke,The Queensway West
284,M8Z,Etobicoke,Royal York South West
285,M8Z,Etobicoke,South of Bloor
286,M9Z,Not assigned,Not assigned
287,,,
